SKU,总销售数量
V01GQ004S,2251
V01GQ003,1674
V01GQ004,1012
V01GQ013,782
V01GQ103S,621
V01GQ003S,303
V01GQ012,263
V01GQ006S,134
V01GQ2004,121
BARBECUE-3B,90
BARBECUE-4B,84
BBQ-4S1B,62
Dual-Fuel-2T,57
V01GC001A,45
V01GQ2003,40
V02GS001,34
V06AS005,21
Dual-Fuel-3T1B,20
V01GC5001,17
FLAT-PD-4B,12
