SKU-old,SKU-new
GD-GQ013,V01GQ013
GD-BS003S,V01GQ003S
GD-103S,V01GQ103S
GD-BS004S,V01GQ004S
GD-BT003,V01GQ003
GD-BT004,V01GQ004
GD-S001,V02GS001
GD-2003,V01GQ2003
GD-2004,V01GQ2004
GD-BS003S-A,V01GQ003S
GD-BS004S-A,V01GQ004S
GRILL-4T1B,V01GQ004S
GRLL-X3T,V01GQ013
GRILL-4T,V01GQ004
GD-BT003-A,V01GQ003
