平台,年月,总销售数量
Amazon,2025-03,236
Amazon,2025-04,286
Amazon,2025-05,994
Amazon,2025-06,1738
Amazon,2025-07,1391
Amazon,2025-08,915
Amazon,2025-09,548
Amazon,2025-10,451
Walmart,2025-03,43
Walmart,2025-04,13
Walmart,2025-05,121
Walmart,2025-06,244
Walmart,2025-07,108
Walmart,2025-08,160
Walmart,2025-09,212
Walmart,2025-10,149
Walmart,2025-11,78
测评,2025-09,4
